Account,الحساب
Account Head,رئيس الحسابات
Accounts Manager,مدير الحسابات
Accounts User,مستخدم الحسابات
Additional Notes,ملاحظات إضافية
Administrator,مدير النظام
Allow Create Sales Order,السماح بإنشاء أمر مبيعات
Allow Credit Sale,السماح بالبيع بالائتمان
Allow Partial Payment,السماح بالدفع الجزئي
Allow Return,السماح بالإرجاع
Allow Submissions in background job,السماح بإرسال الطلبات في مهمة خلفية
Allow User to Edit Item Discount,السماح للمستخدم بتعديل خصم الصنف
Allow user to edit Additional Discount,السماح للمستخدم بتعديل الخصم الإضافي
Allow user to edit Rate,السماح للمستخدم بتعديل السعر
Amended From,معدل من
Amount,المبلغ
Apply Customer Discount,تطبيق خصم العميل
Apply For,التقديم لـ
Apply On,يطبق على
Apply Rule On Brand,تطبيق القاعدة على العلامة التجارية
Apply Rule On Item Code,تطبيق القاعدة على كود الصنف
Apply Rule On Item Group,تطبيق القاعدة على مجموعة الأصناف
Apply Type,نوع التطبيق
Auto Apply,تطبيق تلقائي
Auto Delete Draft Invoice,حذف الفاتورة المسودة تلقائيًا
Allow Delete Offline Invoice,السماح بحذف الفاتورة في وضع عدم الاتصال
Auto Set Batch,تعيين الدفعة تلقائيًا
Allow Price List Rate Change,السماح بتغيير سعر قائمة الأسعار
Brand,العلامة التجارية
Cancelled,ملغاة
Cash Mode of Payment,طريقة الدفع نقدًا
Cashier,أمين الصندوق
Closed,مغلقة
Closing Amount,مبلغ الإقفال
Company,الشركة
Customer,العميل
Date,التاريخ
Default Loyalty Program,برنامج المكافآت الافتراضي
Delivery Date,تاريخ التسليم
Description,الوصف
Details,التفاصيل
Difference,الفرق
Disable,تعطيل
Discount %,نسبة الخصم ٪
Discount Amount,قيمة الخصم
Discount Percentage,نسبة الخصم
Discount Type,نوع الخصم
Draft,مسودة
Expected Amount,المبلغ المتوقع
For POS Closing Shift Payment Reconciliation,للمطابقة بين المدفوعات عند إقفال نقطة البيع
Give Item,الصنف الممنوح
Give Item Row ID,معرّف صف الصنف الممنوح
Give Product,المنتج الممنوح
Given Quantity,الكمية الممنوحة
Grand Total,الإجمالي الكلي
Hide Close Shift,إخفاء إقفال الوردية
Hide Unavailable Items,إخفاء الأصناف غير المتوفرة
Hide Variants Items,إخفاء أصناف المتغيرات
Invalid Period,فترة غير صالحة
Is Offer,هو عرض
Is Offer Replace For item Row ID,هل العرض لاستبدال معرّف صف الصنف
It is best not to use more than four numbers,يفضل عدم استخدام أكثر من أربعة أرقام
Item Code,كود الصنف
Items Group,مجموعة الأصناف
Item Price,سعر الصنف
Item Rate Should Less Then,يجب أن يكون سعر الصنف أقل من
Items,الأصناف
Linked Invoices,الفواتير المرتبطة
Loyalty Point,نقطة مكافأة
Loyalty Point Scheme,برنامج المكافآت
Loyalty Points,نقاط المكافآت
Max Amount,الحد الأقصى للمبلغ
Max Discount Percentage Allowed ,الحد الأقصى المسموح به لنسبة الخصم
Max Quantity,الحد الأقصى للكمية
Min Amount,الحد الأدنى للمبلغ
Min Quantity,الحد الأدنى للكمية
Mode of Payment,طريقة الدفع
Mode of Payments,طرق الدفع
Modes of Payment,طرق الدفع
Net Total,صافي الإجمالي
Offer,العرض
Offer Applied,تم تطبيق العرض
Offer Name,اسم العرض
Open,مفتوحة
Opening Amount,مبلغ الافتتاح
Opening Balance Details,تفاصيل الرصيد الافتتاحي
POS Awesome Advance Settings,إعدادات نقاط البيع أوسم المتقدمة
POS Awesome Settings,إعدادات نقاط البيع أوسم
POS Closing Shift,إقفال وردية نقطة البيع
POS Closing Shift Detail,تفاصيل إقفال وردية نقطة البيع
POS Closing Shift Taxes,ضرائب إقفال وردية نقطة البيع
POS Closing Shift {} against {} between selected period,إقفال وردية نقطة البيع {} مقابل {} خلال الفترة المحددة
POS Offer,عرض نقطة البيع
